id,usd_value,follower_count
0xf2db8c768767e49fe52d6407b76e949f21fc75c4,550.4265343197969,626
0x59f43f0b6f90af9485754456776c99be766e5e8e,548.6021506781989,11209
0xea5fd79d5f2f178a3705b5c797b1af1d8d738ffb,542.2777579556094,5818
0x038d59db5efcacf62ed9806f4379dec89dfe526a,541.6850853089273,121
0xd3ae31b669ab51391f9ba970773a414c0ae152af,540.1796787722137,2849
0x4ee809d0e7b4ab90474c515329e1409f16ed9a26,539.4635384291846,361
0x605cc60c9de6c98af0f36846a2b67483460dc845,537.8832725690995,217
0xb31833408c9e229240f9c4c282ff4b217c953e64,537.6050039231739,585
0x80cb491d69025bfebf97f865e1d5868b14438ef7,533.7361122687419,1454
0x9ebfb95b29abc3285fe75c20476a2bfcd4ee24f6,531.4903911000918,330
0xf68f637cf686a7ce9e562eca7318bb737675868f,526.8708504858939,621
0xc260a9fc2b122a3a99baa156e9c8edd7b251dbf5,522.790240307451,680
0xb41884c5ab5b88f3f4b1495639b03d3f1c0f7771,522.0125913120908,463
0x692d89622c3e6f36dd898fc32c6568ea0ed00cee,520.4907422633912,2235
0xc02aaf2b48fd04aef459ebbacddac97d464907ee,518.9725603538843,34
0xb7e5f405b67dda6ba951b8a0fc16b7f60ee98f8a,515.7457332076881,33
0xe07e47872ee427087b3c23030d42e9fafa6199b3,513.2088820926796,23
0x2557e01e08209c2bebc9c0797fc3c0b049cacd22,511.8831686694991,3
0x811ac20a93a66b9195bcf1aa5e66f069d4471382,507.87466494201135,64
0xe8b57a0f65444fd12601668de5c69efb18d4dc56,503.87425907980185,128
0xf1ac5ed9a15ef00b71e46a0d9a5cb0a6a1bbf002,503.26121212346555,170
0xad8febec6a630469b3b948eca1f0c0aaa5a4e72e,502.51069352366403,358
0xa48d9c282ae77d20605a983da5cdaf96dc7fde1a,491.17718171507124,941
0xfc6979489a755f94b80ec16deb6720b1a6fb7f3e,488.89155561018464,3021
0x1517bb5451daed7175377bb5b88aa834aa9bc4fd,487.8285688774697,903
0x9fbe416baab4a041d84076552605846708e3563a,484.2692953413092,40
0xb77e70c30722ca1cff8f105f18ed3c73cfc4f7fb,480.4797480978026,157
0xdd7a6d09ff27a60a332e1295392002f123878bfc,480.41385183391685,343
0x51ac80a266a2abdd3ca805d418f53f8e3d6c54e5,480.3845171604932,6421
0xdb6cef6d47120e548cd0bff0d71fea5d74e2d186,480.2218845526491,520
0x1d2373b88864d673585d50cdad512452508396f9,478.3688447716691,278
0x8f91a3564ed0feeae25b1b2509922bbe8616a483,467.63547059996944,237
0x8583f6b06660f70e94236710bc784f844876e6fa,464.11944271097036,23
